technology_purchase_history,device_usage_patterns,tech-savvy_level,online_security_measures,software_use_preferences,smart_home_devices_adopted,diy_vs._professional_tech_use,tech_support_utilization,interest_in_emerging_tech,e-government_participation,digital_literacy_assessment,open_source_vs._proprietary_preferences,cloud_service_usage,online_subscription_services,tech_event_attendance
Occasional,Tablet,High,Moderate,Mixed,No,Mixed,None,Low,Yes,Moderate,Open Source,Frequent,No,Frequent
None,Tablet,Low,None,Open Source,Yes,DIY,Frequent,Moderate,Yes,Moderate,Mixed,Occasional,No,Occasional
Occasional,Smartphone,Moderate,Weak,Open Source,No,Professional,None,Moderate,Yes,High,Mixed,None,No,None
Occasional,Desktop,High,Weak,Mixed,No,Mixed,Occasional,High,No,Low,Open Source,None,No,Frequent
Frequent,Smartphone,Low,Moderate,Proprietary,No,DIY,Frequent,High,Yes,Low,Proprietary,Frequent,No,Occasional
Occasional,Desktop,High,None,Mixed,No,Professional,None,Low,Yes,High,Mixed,Frequent,Yes,Frequent
Frequent,Laptop,Moderate,Moderate,Mixed,No,Mixed,Frequent,High,No,Moderate,Open Source,Occasional,No,Frequent
None,Laptop,Moderate,Moderate,Mixed,No,Mixed,Occasional,Low,No,High,Proprietary,None,No,Frequent
None,Desktop,Moderate,Weak,Proprietary,No,DIY,None,High,No,High,Proprietary,Frequent,No,Frequent
Occasional,Smartphone,Low,Strong,Mixed,No,Professional,Occasional,Moderate,No,Moderate,Mixed,Frequent,No,Occasional
None,Smartphone,High,Moderate,Mixed,Yes,Professional,Frequent,High,No,Moderate,Mixed,Frequent,Yes,Frequent
None,Desktop,Low,Strong,Proprietary,Yes,DIY,Occasional,Moderate,Yes,Low,Open Source,Frequent,Yes,Frequent
None,Tablet,Moderate,Weak,Mixed,Yes,DIY,Occasional,Moderate,No,Moderate,Open Source,Occasional,Yes,Frequent
None,Desktop,Low,Strong,Mixed,No,Mixed,Frequent,Moderate,No,High,Mixed,None,Yes,Occasional
None,Tablet,High,Weak,Open Source,No,Professional,Occasional,Low,No,Low,Open Source,Occasional,No,None
Frequent,Desktop,Moderate,Moderate,Proprietary,No,DIY,Frequent,High,Yes,High,Proprietary,Frequent,Yes,Frequent
Occasional,Smartphone,Moderate,Moderate,Proprietary,No,DIY,Occasional,Moderate,Yes,Low,Proprietary,None,Yes,Occasional
Occasional,Laptop,Moderate,Moderate,Mixed,No,Mixed,Frequent,High,Yes,High,Proprietary,None,Yes,Occasional
None,Desktop,Moderate,Strong,Mixed,No,Mixed,Occasional,Moderate,Yes,Low,Mixed,Occasional,Yes,Frequent
Rare,Smartphone,Moderate,None,Open Source,Yes,Professional,Frequent,Low,No,High,Mixed,None,No,Frequent
Occasional,Tablet,Low,Strong,Proprietary,No,Mixed,Frequent,Moderate,No,Low,Proprietary,None,No,Occasional
None,Smartphone,High,Weak,Mixed,No,Mixed,Occasional,Moderate,No,Moderate,Open Source,None,No,None
Rare,Desktop,High,Moderate,Open Source,Yes,Professional,None,High,Yes,Low,Mixed,Frequent,No,Occasional
Occasional,Laptop,High,Strong,Open Source,Yes,Professional,Frequent,Moderate,Yes,Moderate,Open Source,None,No,None
Rare,Desktop,High,None,Proprietary,Yes,DIY,Occasional,High,No,High,Open Source,Frequent,Yes,None
Frequent,Smartphone,Low,Weak,Open Source,Yes,Professional,Frequent,High,Yes,Moderate,Proprietary,Occasional,No,None
Frequent,Tablet,High,Moderate,Mixed,No,Professional,None,Low,No,High,Proprietary,None,Yes,None
Occasional,Laptop,Low,None,Open Source,No,Professional,Frequent,High,Yes,Moderate,Mixed,Frequent,Yes,None
Rare,Laptop,Moderate,None,Open Source,Yes,DIY,Frequent,High,No,High,Open Source,Frequent,Yes,None
Occasional,Smartphone,Moderate,Strong,Mixed,No,DIY,Frequent,Moderate,No,Low,Proprietary,Frequent,No,None
Frequent,Tablet,High,Weak,Mixed,No,Mixed,Occasional,Low,No,High,Open Source,None,Yes,Occasional
Rare,Tablet,Moderate,Weak,Mixed,Yes,DIY,None,Low,No,Moderate,Open Source,Occasional,No,Occasional
None,Tablet,Low,Weak,Open Source,No,DIY,Frequent,Low,Yes,High,Open Source,None,Yes,Occasional
